ts_datetime,ts_frc,hh_datetime,hh_frc,ts_cond,ts_wattemp
2019-07-31T09:22:00.000+06,0.7,2019-07-31T14:58:00.000+06,0.4,293,27.1
2019-07-30T16:31:00.000+06,0.94,2019-07-31T07:24:00.000+06,0.15,,27.9
2019-07-31T09:38:00.000+06,0.76,2019-07-31T15:08:00.000+06,0.35,293,27.4
2019-07-31T15:52:00.000+06,0.57999999999999996,2019-08-01T08:12:00.000+06,0.06,309,27.7
2019-07-31T09:52:00.000+06,0.65,2019-07-31T15:26:00.000+06,0.54,291,27.9
2019-08-01T08:43:00.000+06,0.33,2019-08-01T14:27:00.000+06,0.02,477,27.7
2019-08-01T09:05:00.000+06,0.27,2019-08-01T14:39:00.000+06,0.05,473,27.9
2019-08-01T09:23:00.000+06,0.22,2019-08-01T14:50:00.000+06,0.02,469,27.6
2019-08-01T09:57:00.000+06,0.43,2019-08-01T15:10:00.000+06,0.05,472,28.2
2019-07-27T09:24:00.000+06,0.11,2019-07-27T15:15:00.000+06,0.08,346,28.7
2019-07-28T09:56:00.000+06,1.68,2019-07-28T15:23:00.000+06,0.27,349,27.3
2019-08-04T15:51:00.000+06,0.72,2019-08-05T08:31:00.000+06,0.36,294,29
2019-08-03T15:04:00.000+06,0.68,2019-08-04T07:12:00.000+06,0.32,296,27.6
2019-08-03T15:17:00.000+06,0.63,2019-08-04T07:26:00.000+06,0.11,293,27.3
2019-08-03T15:29:00.000+06,0.67,2019-08-04T07:41:00.000+06,0.28000000000000003,290,27.3
2019-08-03T15:45:00.000+06,0.65,2019-08-04T08:01:00.000+06,0.53,292,28
2019-08-03T16:06:00.000+06,0.75,2019-08-04T08:14:00.000+06,0.04,290,27.5
2019-08-04T15:37:00.000+06,0.77,2019-08-05T08:00:00.000+06,0.02,293,28.1
2019-08-04T16:06:00.000+06,0.64,2019-08-05T07:37:00.000+06,0.48,291,28.3
2019-08-04T16:19:00.000+06,0.64,2019-08-05T07:16:00.000+06,0.15,297,28.5
2019-08-04T16:30:00.000+06,0.48,2019-08-05T07:27:00.000+06,0.04,292,28.4
2019-08-05T15:47:00.000+06,0.79,2019-08-06T07:37:00.000+06,0.03,300,29.1
2019-08-05T15:56:00.000+06,0.87,2019-08-06T07:44:00.000+06,0.48,293,28.3
2019-08-05T16:08:00.000+06,0.81,2019-08-06T07:56:00.000+06,0.49,293,29
2019-08-05T16:16:00.000+06,0.67,2019-08-06T08:10:00.000+06,0.2,293,28.5
2019-08-05T16:34:00.000+06,0.81,2019-08-06T08:20:00.000+06,0.52,293,28.3
2019-08-05T16:44:00.000+06,0.84,2019-08-06T08:32:00.000+06,0.12,292,28.3
2019-08-06T15:30:00.000+06,0.41,2019-08-07T08:11:00.000+06,0.03,296,27.9
2019-08-06T15:44:00.000+06,0.5,2019-08-07T08:05:00.000+06,0.47,292,27.6
2019-08-06T15:57:00.000+06,0.57999999999999996,2019-08-07T07:51:00.000+06,0.48,292,27.4
2019-08-06T16:15:00.000+06,0.55000000000000004,2019-08-07T08:27:00.000+06,0.56000000000000005,291,28
2019-08-06T16:25:00.000+06,0.67,2019-08-07T08:46:00.000+06,0.44,291,27.8
2019-08-06T16:36:00.000+06,0.6,2019-08-07T08:54:00.000+06,0.09,291,27.8
2019-08-07T15:31:00.000+06,0.84,2019-08-08T07:52:00.000+06,0.31,345,27.9
2019-08-07T15:44:00.000+06,0.82,2019-08-08T08:04:00.000+06,0.19,346,27.9
2019-08-07T15:53:00.000+06,0.84,2019-08-08T08:13:00.000+06,0.14000000000000001,350,28
2019-08-07T16:07:00.000+06,0.78,2019-08-08T08:27:00.000+06,0.01,345,28
2019-08-07T16:19:00.000+06,0.82,2019-08-08T08:40:00.000+06,0.39,348,28.2
2019-08-07T16:33:00.000+06,0.82,2019-08-08T08:55:00.000+06,0.17,345,28
2019-08-03T08:55:00.000+06,0.41,2019-08-03T15:04:00.000+06,0.41,338,27.7
2019-08-03T09:08:00.000+06,0.79,2019-08-03T15:13:00.000+06,0.67,330,27.2
2019-08-03T09:26:00.000+06,0.78,2019-08-03T15:26:00.000+06,0.36,330,27.2
2019-08-03T09:45:00.000+06,0.76,2019-08-03T15:38:00.000+06,0.44,331,27.8
2019-08-03T10:02:00.000+06,0.74,2019-08-03T15:52:00.000+06,0.34,331,27
2019-08-03T09:19:00.000+06,0.66,2019-08-03T14:12:00.000+06,0.45,,26.7
2019-08-04T08:27:00.000+06,1.45,2019-08-04T14:49:00.000+06,0.99,335,27.2
2019-08-04T08:44:00.000+06,1.1599999999999999,2019-08-04T15:15:00.000+06,0.49,334,27.2
2019-08-03T09:30:00.000+06,0.42,2019-08-03T14:31:00.000+06,0.33,,26.7
2019-08-04T08:55:00.000+06,1.0900000000000001,2019-08-04T15:06:00.000+06,0.69,331,28
2019-08-03T09:42:00.000+06,0.49,2019-08-03T14:44:00.000+06,0.32,,27
2019-08-04T09:10:00.000+06,1.64,2019-08-04T14:57:00.000+06,1.1000000000000001,335,27.3
2019-08-03T10:01:00.000+06,0.64,2019-08-03T15:01:00.000+06,0.52,,27
2019-08-04T09:22:00.000+06,1.29,2019-08-04T15:24:00.000+06,0.78,334,28
2019-08-03T10:13:00.000+06,0.97,2019-08-03T15:12:00.000+06,0.65,,27.1
2019-08-05T08:39:00.000+06,0.63,2019-08-05T14:51:00.000+06,0.23,488,28.7
2019-08-04T08:18:00.000+06,0.86,2019-08-04T14:09:00.000+06,0.56999999999999995,,27.7
